threshold,tn,fp,fn,tp,precision,recall,f1,tpr,fpr,cost
0.658,692,7,171,130,0.948905109489051,0.4318936877076412,0.593607305936073,0.43189368770763975,0.010014306151645194,1717.0
0.66,692,7,171,130,0.948905109489051,0.4318936877076412,0.593607305936073,0.43189368770763975,0.010014306151645194,1717.0
0.662,692,7,172,129,0.9485294117647058,0.42857142857142855,0.5903890160183066,0.4285714285714271,0.010014306151645194,1727.0
0.664,692,7,172,129,0.9485294117647058,0.42857142857142855,0.5903890160183066,0.4285714285714271,0.010014306151645194,1727.0
0.666,692,7,172,129,0.9485294117647058,0.42857142857142855,0.5903890160183066,0.4285714285714271,0.010014306151645194,1727.0
0.668,692,7,172,129,0.9485294117647058,0.42857142857142855,0.5903890160183066,0.4285714285714271,0.010014306151645194,1727.0
0.67,692,7,173,128,0.9481481481481482,0.42524916943521596,0.5871559633027523,0.4252491694352145,0.010014306151645194,1737.0
0.672,692,7,173,128,0.9481481481481482,0.42524916943521596,0.5871559633027523,0.4252491694352145,0.010014306151645194,1737.0
0.674,692,7,173,128,0.9481481481481482,0.42524916943521596,0.5871559633027523,0.4252491694352145,0.010014306151645194,1737.0
0.676,692,7,174,127,0.9477611940298507,0.4219269102990033,0.5839080459770115,0.42192691029900187,0.010014306151645194,1747.0
0.678,692,7,175,126,0.9473684210526315,0.4186046511627907,0.5806451612903226,0.4186046511627893,0.010014306151645194,1757.0
0.68,692,7,175,126,0.9473684210526315,0.4186046511627907,0.5806451612903226,0.4186046511627893,0.010014306151645194,1757.0
0.682,692,7,176,125,0.946969696969697,0.4152823920265781,0.5773672055427251,0.4152823920265767,0.010014306151645194,1767.0
0.684,692,7,178,123,0.9461538461538461,0.40863787375415284,0.5707656612529002,0.40863787375415145,0.010014306151645194,1787.0
0.686,692,7,178,123,0.9461538461538461,0.40863787375415284,0.5707656612529002,0.40863787375415145,0.010014306151645194,1787.0
0.6880000000000001,692,7,178,123,0.9461538461538461,0.40863787375415284,0.5707656612529002,0.40863787375415145,0.010014306151645194,1787.0
0.6900000000000001,692,7,178,123,0.9461538461538461,0.40863787375415284,0.5707656612529002,0.40863787375415145,0.010014306151645194,1787.0
0.6920000000000001,692,7,179,122,0.9457364341085271,0.4053156146179402,0.5674418604651162,0.4053156146179388,0.010014306151645194,1797.0
0.6940000000000001,692,7,179,122,0.9457364341085271,0.4053156146179402,0.5674418604651162,0.4053156146179388,0.010014306151645194,1797.0
0.6960000000000001,692,7,181,120,0.9448818897637795,0.39867109634551495,0.5607476635514018,0.3986710963455136,0.010014306151645194,1817.0
0.6980000000000001,692,7,181,120,0.9448818897637795,0.39867109634551495,0.5607476635514018,0.3986710963455136,0.010014306151645194,1817.0
0.7000000000000001,693,6,182,119,0.952,0.3953488372093023,0.5586854460093896,0.395348837209301,0.008583690987124451,1826.0
0.7020000000000001,693,6,182,119,0.952,0.3953488372093023,0.5586854460093896,0.395348837209301,0.008583690987124451,1826.0
0.704,694,5,183,118,0.959349593495935,0.3920265780730897,0.5566037735849056,0.3920265780730884,0.007153075822603709,1835.0
0.706,694,5,184,117,0.9590163934426229,0.38870431893687707,0.5531914893617021,0.38870431893687574,0.007153075822603709,1845.0
0.708,694,5,185,116,0.9586776859504132,0.3853820598006645,0.5497630331753555,0.38538205980066315,0.007153075822603709,1855.0
0.71,694,5,185,116,0.9586776859504132,0.3853820598006645,0.5497630331753555,0.38538205980066315,0.007153075822603709,1855.0
0.712,695,4,187,114,0.9661016949152542,0.3787375415282392,0.5441527446300716,0.3787375415282379,0.005722460658082967,1874.0
